(Synset(event.n.01), [1524, 6])
(Synset(instrumentality.n.03), [629, 6])
(Synset(matter.n.03), [428, 6])
(Synset(organism.n.01), [222, 6])
(Synset(living_thing.n.01), [195, 6])
(Synset(relation.n.01), [183, 6])
(Synset(mammal.n.01), [108, 6])
(Synset(placental.n.01), [102, 6])
(Synset(natural_object.n.01), [69, 6])
(Synset(written_communication.n.01), [69, 6])
(Synset(convey.v.03), [42, 6])
(Synset(entity.n.01), [6869, 5])
(Synset(physical_entity.n.01), [3564, 5])
(Synset(psychological_feature.n.01), [2145, 5])
(Synset(object.n.01), [1999, 5])
(Synset(act.n.02), [1208, 5])
(Synset(cognition.n.01), [505, 5])
(Synset(device.n.01), [304, 5])
(Synset(group_action.n.01), [157, 5])
(Synset(forget.v.01), [125, 5])
(Synset(possession.n.02), [116, 5])
(Synset(substance.n.07), [111, 5])
(Synset(plant_part.n.01), [78, 5])
(Synset(communicate.v.01), [75, 5])
(Synset(plant.n.02), [75, 5])
(Synset(solid.n.01), [69, 5])
(Synset(ungulate.n.01), [58, 5])
(Synset(writing.n.02), [47, 5])
(Synset(knowledge_domain.n.01), [44, 5])
(Synset(natural_process.n.01), [42, 5])
(Synset(reject.v.01), [37, 5])
(Synset(invertebrate.n.01), [33, 5])
(Synset(region.n.01), [32, 5])
(Synset(administrative_unit.n.01), [18, 5])
(Synset(calendar_day.n.01), [17, 5])
(Synset(system_of_measurement.n.01), [16, 5])
(Synset(entertainment.n.01), [14, 5])
(Synset(plan.n.01), [9, 5])
(Synset(abstraction.n.06), [4551, 3])
(Synset(whole.n.02), [1871, 3])
(Synset(artifact.n.01), [1417, 3])
(Synset(attribute.n.02), [813, 3])
(Synset(change.v.02), [717, 3])
(Synset(communication.n.02), [566, 3])
(Synset(group.n.01), [340, 3])
(Synset(state.n.02), [318, 3])
(Synset(action.n.01), [312, 3])
(Synset(think.v.03), [229, 3])
(Synset(change.n.03), [220, 3])
(Synset(process.n.06), [191, 3])
(Synset(animal.n.01), [150, 3])
(Synset(change_magnitude.v.01), [149, 3])
(Synset(chordate.n.01), [144, 3])
(Synset(arouse.v.01), [104, 3])
(Synset(idea.n.01), [97, 3])
(Synset(request.v.01), [88, 3])
(Synset(definite_quantity.n.01), [88, 3])
(Synset(food.n.01), [78, 3])
(Synset(vascular_plant.n.01), [74, 3])
(Synset(inhabitant.n.01), [71, 3])
(Synset(have.v.01), [70, 3])
(Synset(information.n.02), [70, 3])
(Synset(communicator.n.01), [67, 3])
(Synset(signal.n.01), [64, 3])
(Synset(assets.n.01), [60, 3])
(Synset(suppress.v.04), [59, 3])
(Synset(food.n.02), [50, 3])
(Synset(language.n.01), [48, 3])
(Synset(pathological_state.n.01), [45, 3])
(Synset(transferred_property.n.01), [43, 3])
(Synset(commerce.n.01), [41, 3])
(Synset(plant_organ.n.01), [41, 3])
(Synset(transaction.n.01), [41, 3])
(Synset(ask.v.02), [40, 3])
